month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,mon,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
may,tue,1.1,93.994,-36.4,4.857,5191
